problem,strategy_version,label,total_sources,omnidirectional_count,directional_count,cleared_count,clearance_ratio,virtual_time_s,average_clear_time_s,api_timestamp_elapsed_s,local_wall_time_s,movement_m,measure_count,failed_clear_count
3,v1,q3_FB4D-US62-JKTD-YMC3,12,12,0,12,1.0,9428.365994,785.6971661666666,3.201,3.235000000000582,40206.82997861756,228,1
4,v1,q4_5C4E-SB5T-DVXH-ZDGG,14,4,10,14,1.0,12780.368494,912.8834638571428,4.681,4.687999999994645,50881.84249410061,437,0
3,v2,q3_FZT4-JRQM-SAX5-Q23U,16,16,0,16,1.0,6730.34871,420.646794375,1.781,1.7809999999881256,29811.743573521093,121,2
4,v2,q4_XWMN-PJ57-TBRX-UD63,12,0,12,12,1.0,10914.628656,909.5523880000001,4.83,4.8439999999973224,43523.14327993393,367,0
